,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,pd,param
alpha,7.366,2.329,3.097,11.795,0.037,0.027,3907.0,4716.0,1.0,0.99975,alpha
beta_E,0.005,0.038,-0.064,0.08,0.001,0.0,5684.0,5456.0,1.0,0.55,beta_E
beta_S,-0.072,0.049,-0.161,0.022,0.001,0.001,4190.0,4946.0,1.0,0.926,beta_S
beta_G,0.015,0.015,-0.013,0.045,0.0,0.0,6279.0,5437.0,1.0,0.83975,beta_G
gamma_inflation,-0.004,0.004,-0.012,0.003,0.0,0.0,8027.0,5467.0,1.0,0.85425,gamma_inflation
gamma_pop,0.402,0.167,0.082,0.709,0.002,0.002,6617.0,6097.0,1.0,0.9925,gamma_pop
sigma_u,1.764,0.548,0.879,2.781,0.008,0.01,4920.0,5171.0,1.0,1.0,sigma_u
sigma,4.711,0.142,4.442,4.976,0.002,0.002,8859.0,5923.0,1.0,1.0,sigma
