Model,WAIC,WAIC_SE,LOO,LOO_SE,p_WAIC,p_LOO,Rank
M1: Full (E+S+G+controls),-1684.342200066787,50.93267921443303,-1684.5403562100873,50.767620197130725,23.85283812845877,24.050994271759237,2
M2: Only ESG (E+S+G),-1685.8058390674778,47.969000803610605,-1685.7246129247176,47.84059548028209,20.999399329398685,20.91817318663834,3
M3: Aggregate ESG,-1683.7720061283228,47.2536715164433,-1683.8765553706623,47.321399173965425,17.505815848813093,17.610365091152516,1
