Indicator code,Indicator name,Pillar
ER.H2O.FWST.ZS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,E
ER.H2O.FWTL.ZS,"Annual freshwater withdrawals, total (% of internal resources)",E
ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),E
FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual % growth)",Unknown
GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP),G
GE.EST,Government Effectiveness: Estimate,Unknown
HD.HCI.OVRL,Human capital index (HCI) (scale 0-1),S
IP.JRN.ARTC.SC,Scientific and technical journal articles,Unknown
IP.PAT.RESD,"Patent applications, residents",Unknown
IT.NET.USER.ZS,Individuals using the Internet (% of population),E
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",E
NY.ADJ.DFOR.GN.ZS,"Adjusted savings, net forest depletion (% of GNI)",E
NY.ADJ.DRES.GN.ZS,"Adjusted savings, natural resources depletion (% of GNI)",E
NY.GDP.MKTP.CD,GDP (current US$),E
NY.GDP.MKTP.KD.ZG,GDP (annual % growth),E
NY.GDP.PCAP.CD,GDP per capita (current US$),E
PV.EST,Political Stability and Absence of Violence/Terrorism: Estimate,Unknown
RL.EST,Rule of Law: Estimate,Unknown
RQ.EST,Regulatory Quality: Estimate,Unknown
SE.ADT.LITR.ZS,"Literacy rate, adult total (% of people ages 15 and above)",S
SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",E
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",S
SE.PRM.ENRR,"School enrollment, primary (% gross)",E
SE.XPD.TOTL.GB.ZS,"Government expenditure on education, total (% of government expenditure)",S
SG.GEN.PARL.ZS,Proportion of seats held by women in national parliaments (%),E
SH.DTH.COMM.ZS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",S
SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",S
SH.H2O.SMDW.ZS,People using safely managed drinking water services (% of population),S
SH.MED.BEDS.ZS,"Hospital beds (per 1,000 people)",S
SH.STA.SMSS.ZS,People using safely managed sanitation services (% of population),S
SI.DST.FRST.20,Income share held by lowest 20%,Unknown
SI.POV.DDAY,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Unknown
SI.POV.GINI,Gini index,Unknown
SI.POV.NAHC,Poverty headcount ratio at national poverty lines (% of population),Unknown
SI.POV.UMIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),G
SI.SPR.PGAP,Prosperity gap (average shortfall from a prosperity standard of $28/day),S
SL.TLF.0714.ZS,"Children in employment, total (% of children ages 7-14)",S
SL.TLF.ACTI.ZS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",S
SL.TLF.CACT.FM.ZS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),S
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",S
SM.POP.NETM,Net migration,S
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),Unknown
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",S
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",S
SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),S
SP.POP.GROW,Population growth (annual %),S
SP.POP.TOTL,"Population, total",S
SP.UWT.TFRT,Unmet need for contraception (% of married women ages 15-49),S
VA.EST,Voice and Accountability: Estimate,Unknown
NW.DOW.PC,Domestic comprehensive wealth per capita index (real chained 2019 US$),Unknown
NW.DOW.TO,Domestic comprehensive wealth index (real chained 2019 US$),Unknown
NW.HCA.FEMA.PC,"Human capital per capita, female (real chained 2019 US$)",Unknown
NW.HCA.FEMA.TO,"Human capital, female (real chained 2019 US$)",Unknown
NW.HCA.MALE.PC,"Human capital per capita, male (real chained 2019 US$)",Unknown
NW.HCA.MALE.TO,"Human capital, male (real chained 2019 US$)",Unknown
NW.HCA.PC,Human capital per capita (real chained 2019 US$),Unknown
NW.HCA.TO,Human capital (real chained 2019 US$),Unknown
NW.NCA.AGRI.PC,"Renewable natural capital per capita, agricultural land (real chained 2019 US$)",E
NW.NCA.AGRI.TO,"Renewable natural capital, agricultural land (real chained 2019 US$)",E
NW.NCA.FISH.PC,"Renewable natural capital per capita, fisheries (real chained 2019 US$)",S
NW.NCA.FISH.TO,"Renewable natural capital, fisheries (real chained 2019 US$)",S
NW.NCA.FSTC.PC,"Renewable natural capital per capita, forest recreation, hunting and fishing services (real chained 2019 US$)",Unknown
NW.NCA.FSTC.TO,"Renewable natural capital, forest recreation, hunting and fishing services (real chained 2019 US$)",Unknown
