ISO3 code,year,Economy,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth,d_E_score
BRN,1975,Brunei Darussalam,-0.6453,13.623951453512005,53.11060348519017,,12.787753573697737,54.58004139312912,,,3.4851,
BRN,1976,Brunei Darussalam,20.8741,14.016044001009403,54.23923943025018,,13.623951453512005,53.11060348519017,,,3.4429,0.3920925474973984
BRN,1977,Brunei Darussalam,9.934,14.237423611751993,53.5391960264573,,14.016044001009403,54.23923943025018,,,3.4069,0.2213796107425896
BRN,1978,Brunei Darussalam,7.0191,13.397218499739488,53.09668007390562,,14.237423611751993,53.5391960264573,,,3.2586,-0.8402051120125051
BRN,1979,Brunei Darussalam,24.3384,15.368283911610115,52.62754344157564,,13.397218499739488,53.09668007390562,,,3.1176,1.9710654118706277
BRN,1980,Brunei Darussalam,-9.708,14.123162166948852,51.41239706194283,,15.368283911610115,52.62754344157564,,,3.1045,-1.2451217446612635
BRN,1981,Brunei Darussalam,-22.3848,14.5830159994629,49.82851655953291,,14.123162166948852,51.41239706194283,,9.1371,3.1032,0.45985383251404777
BRN,1982,Brunei Darussalam,2.3015,14.403526894465031,48.81310134668061,,14.5830159994629,49.82851655953291,,6.3566,3.1724,-0.1794891049978684
BRN,1983,Brunei Darussalam,0.3994,14.45307918827354,51.08589375313071,,14.403526894465031,48.81310134668061,,1.1662,3.2646,0.04955229380850845
BRN,1984,Brunei Darussalam,-2.3766,15.178920635914482,48.25332298252165,,14.45307918827354,51.08589375313071,,3.074,3.324,0.725841447640942
BRN,1985,Brunei Darussalam,-2.9072,12.85127695592032,49.50439542205863,,15.178920635914482,48.25332298252165,,2.3532,3.3716,-2.3276436799941624
BRN,1986,Brunei Darussalam,-5.4072,12.920939234525989,55.76914377663298,,12.85127695592032,49.50439542205863,,1.7812,3.4021,0.06966227860566931
BRN,1987,Brunei Darussalam,2.0835,12.70472051763002,45.07925258716861,,12.920939234525989,55.76914377663298,,1.2469,3.2,-0.21621871689596794
BRN,1988,Brunei Darussalam,-1.5359,13.653015309330106,45.902156517777016,,12.70472051763002,45.07925258716861,,1.1928,2.9713,0.9482947917000857
BRN,1989,Brunei Darussalam,-2.7262,16.02397453373465,44.90555992368447,,13.653015309330106,45.902156517777016,,1.3043,2.9251,2.370959224404542
BRN,1990,Brunei Darussalam,2.6431,22.135548699935384,39.19880410987984,,16.02397453373465,44.90555992368447,,2.1387,2.8721,6.111574166200736
BRN,1991,Brunei Darussalam,2.9107,25.568603497165245,51.28387228826823,,22.135548699935384,39.19880410987984,,1.6,2.8209,3.433054797229861
BRN,1992,Brunei Darussalam,-3.1206,25.31048347975962,50.34261999921939,,25.568603497165245,51.28387228826823,,1.2795,2.7209,-0.25812001740562707
BRN,1993,Brunei Darussalam,-0.6336,25.48151149973596,50.46133105085172,,25.31048347975962,50.34261999921939,,4.2517,2.6087,0.17102801997634032
BRN,1994,Brunei Darussalam,0.9927,25.541263582693414,53.44545263773676,,25.48151149973596,50.46133105085172,,2.4625,2.5382,0.0597520829574556
BRN,1995,Brunei Darussalam,1.3473,24.96073765003808,53.572594541370826,,25.541263582693414,53.44545263773676,,5.9666,2.4699,-0.580525932655334
BRN,1996,Brunei Darussalam,-0.0273,25.101460041348552,52.57097856622197,,24.96073765003808,53.572594541370826,,1.9961,2.4026,0.14072239131047226
BRN,1997,Brunei Darussalam,6.3439,24.72571712422268,54.47669794619137,,25.101460041348552,52.57097856622197,,1.7116,2.341,-0.3757429171258728
BRN,1998,Brunei Darussalam,-6.6572,25.901829129326085,52.294272853229,,24.72571712422268,54.47669794619137,,-0.4414,2.2807,1.1761120051034055
BRN,1999,Brunei Darussalam,4.2607,26.672567825883597,52.77605002841285,,25.901829129326085,52.294272853229,,-0.4156,2.2242,0.7707386965575118
BRN,2000,Brunei Darussalam,3.4747,27.034396967885257,55.96554440671058,,26.672567825883597,52.77605002841285,,1.5582,2.1718,0.3618291420016604
BRN,2001,Brunei Darussalam,1.4661,26.142050824228946,58.1127978515677,,27.034396967885257,55.96554440671058,,0.5959,2.0981,-0.8923461436563116
