ISO3 code,Economy,year,GDP_growth,E_score,S_score,G_score,E_score_lag1,S_score_lag1,G_score_lag1,inflation,population_growth
BRN,Brunei Darussalam,1975,-0.6453,13.623951453512005,53.11060348519017,,12.787753573697737,54.580041393129115,,,3.4851
BRN,Brunei Darussalam,1976,20.8741,14.016044001009403,54.23923943025018,,13.623951453512005,53.11060348519017,,,3.4429
BRN,Brunei Darussalam,1977,9.934,14.237423611751991,53.5391960264573,,14.016044001009403,54.23923943025018,,,3.4069
BRN,Brunei Darussalam,1978,7.0191,13.397218499739488,53.096680073905624,,14.237423611751991,53.5391960264573,,,3.2586
BRN,Brunei Darussalam,1979,24.3384,15.368283911610115,52.62754344157564,,13.397218499739488,53.096680073905624,,,3.1176
BRN,Brunei Darussalam,1980,-9.708,14.123162166948852,51.41239706194283,,15.368283911610115,52.62754344157564,,,3.1045
BRN,Brunei Darussalam,1981,-22.3848,14.5830159994629,49.82851655953291,,14.123162166948852,51.41239706194283,,9.1371,3.1032
BRN,Brunei Darussalam,1982,2.3015,14.403526894465033,48.813101346680604,,14.5830159994629,49.82851655953291,,6.3566,3.1724
BRN,Brunei Darussalam,1983,0.3994,14.453079188273541,51.085893753130705,,14.403526894465033,48.813101346680604,,1.1662,3.2646
BRN,Brunei Darussalam,1984,-2.3766,15.178920635914482,48.25332298252165,,14.453079188273541,51.085893753130705,,3.074,3.324
BRN,Brunei Darussalam,1985,-2.9072,12.85127695592032,49.50439542205863,,15.178920635914482,48.25332298252165,,2.3532,3.3716
BRN,Brunei Darussalam,1986,-5.4072,12.920939234525989,55.76914377663298,,12.85127695592032,49.50439542205863,,1.7812,3.4021
BRN,Brunei Darussalam,1987,2.0835,12.70472051763002,45.07925258716861,,12.920939234525989,55.76914377663298,,1.2469,3.2
BRN,Brunei Darussalam,1988,-1.5359,13.653015309330106,45.902156517777016,,12.70472051763002,45.07925258716861,,1.1928,2.9713
BRN,Brunei Darussalam,1989,-2.7262,16.02397453373465,44.90555992368447,,13.653015309330106,45.902156517777016,,1.3043,2.9251
BRN,Brunei Darussalam,1990,2.6431,22.135548699935384,39.19880410987984,,16.02397453373465,44.90555992368447,,2.1387,2.8721
BRN,Brunei Darussalam,1991,2.9107,25.568603497165245,51.28387228826823,,22.135548699935384,39.19880410987984,,1.6,2.8209
BRN,Brunei Darussalam,1992,-3.1206,25.31048347975962,50.34261999921939,,25.568603497165245,51.28387228826823,,1.2795,2.7209
BRN,Brunei Darussalam,1993,-0.6336,25.481511499735962,50.46133105085172,,25.31048347975962,50.34261999921939,,4.2517,2.6087
BRN,Brunei Darussalam,1994,0.9927,25.541263582693418,53.44545263773676,,25.481511499735962,50.46133105085172,,2.4625,2.5382
BRN,Brunei Darussalam,1995,1.3473,24.96073765003808,53.572594541370826,,25.541263582693418,53.44545263773676,,5.9666,2.4699
